DATE,PTS,AST,BLK,STL,TRB,Player,Position
2006-11-02,21,1,1,1,11,Dirk Nowitzki,1
2006-11-04,24,1,0,0,4,Dirk Nowitzki,1
2006-11-06,26,6,0,1,11,Dirk Nowitzki,1
2006-11-08,19,4,2,0,12,Dirk Nowitzki,1
2006-11-09,35,4,0,1,7,Dirk Nowitzki,1
2006-11-12,26,3,1,0,10,Dirk Nowitzki,1
2006-11-14,31,1,1,0,10,Dirk Nowitzki,1
2006-11-17,26,5,2,1,10,Dirk Nowitzki,1
2006-11-18,24,2,0,0,13,Dirk Nowitzki,1
2006-11-20,24,4,2,0,14,Dirk Nowitzki,1
2006-11-21,30,5,2,1,14,Dirk Nowitzki,1
2006-11-24,31,3,0,1,10,Dirk Nowitzki,1
2006-11-25,28,1,2,1,9,Dirk Nowitzki,1
2006-11-27,15,3,2,1,5,Dirk Nowitzki,1
2006-11-29,6,1,0,0,6,Dirk Nowitzki,1
2006-12-01,18,2,0,1,10,Dirk Nowitzki,1
2006-12-04,27,3,0,1,9,Dirk Nowitzki,1
2006-12-05,26,4,1,0,13,Dirk Nowitzki,1
2006-12-07,29,3,1,2,9,Dirk Nowitzki,1
2006-12-09,25,5,0,1,9,Dirk Nowitzki,1
2006-12-11,26,1,2,0,10,Dirk Nowitzki,1
2006-12-13,23,8,1,2,14,Dirk Nowitzki,1
2006-12-15,13,5,0,0,2,Dirk Nowitzki,1
2006-12-16,20,5,0,0,10,Dirk Nowitzki,1
2006-12-18,29,2,1,1,13,Dirk Nowitzki,1
2006-12-20,6,2,0,0,3,Dirk Nowitzki,1
2006-12-22,20,4,0,1,12,Dirk Nowitzki,1
2006-12-26,23,0,0,1,7,Dirk Nowitzki,1
2006-12-28,27,3,0,1,10,Dirk Nowitzki,1
2006-12-30,17,4,1,0,4,Dirk Nowitzki,1
2007-01-02,31,2,0,0,15,Dirk Nowitzki,1
2007-01-04,20,3,1,0,7,Dirk Nowitzki,1
2007-01-05,36,2,0,2,8,Dirk Nowitzki,1
2007-01-07,29,3,1,1,13,Dirk Nowitzki,1
2007-01-09,38,2,0,1,7,Dirk Nowitzki,1
2007-01-10,11,5,0,1,4,Dirk Nowitzki,1
2007-01-12,43,2,0,0,12,Dirk Nowitzki,1
2007-01-14,38,5,3,2,11,Dirk Nowitzki,1
2007-01-16,30,6,0,1,10,Dirk Nowitzki,1
2007-01-18,27,3,1,1,10,Dirk Nowitzki,1
2007-01-21,22,1,1,0,11,Dirk Nowitzki,1
2007-01-23,33,8,0,0,10,Dirk Nowitzki,1
2007-01-25,28,1,2,0,11,Dirk Nowitzki,1
2007-01-27,32,5,0,0,11,Dirk Nowitzki,1
2007-01-30,15,1,1,1,6,Dirk Nowitzki,1
2007-01-31,26,1,2,0,11,Dirk Nowitzki,1
2007-02-03,18,2,1,0,5,Dirk Nowitzki,1
2007-02-07,38,6,4,3,10,Dirk Nowitzki,1
2007-02-09,15,2,0,2,8,Dirk Nowitzki,1
2007-02-11,24,7,0,3,11,Dirk Nowitzki,1
2007-02-13,38,8,0,2,11,Dirk Nowitzki,1
2007-02-15,26,1,2,1,8,Dirk Nowitzki,1
2007-02-22,31,6,2,1,11,Dirk Nowitzki,1
2007-02-24,31,8,1,0,11,Dirk Nowitzki,1
2007-02-26,27,0,3,1,8,Dirk Nowitzki,1
2007-02-27,23,3,1,0,14,Dirk Nowitzki,1
2007-03-01,24,7,0,0,11,Dirk Nowitzki,1
2007-03-03,24,7,2,1,9,Dirk Nowitzki,1
2007-03-06,22,5,2,0,11,Dirk Nowitzki,1
2007-03-11,19,2,1,1,5,Dirk Nowitzki,1
2007-03-12,13,4,0,1,9,Dirk Nowitzki,1
2007-03-14,30,6,1,0,16,Dirk Nowitzki,1
2007-03-16,30,4,2,0,12,Dirk Nowitzki,1
2007-03-18,28,2,1,0,12,Dirk Nowitzki,1
2007-03-20,24,1,1,0,5,Dirk Nowitzki,1
2007-03-21,23,6,1,1,9,Dirk Nowitzki,1
2007-03-23,20,3,0,0,4,Dirk Nowitzki,1
2007-03-25,28,2,0,0,4,Dirk Nowitzki,1
2007-03-27,15,1,0,1,3,Dirk Nowitzki,1
2007-03-28,17,1,1,0,5,Dirk Nowitzki,1
2007-03-30,30,2,0,1,3,Dirk Nowitzki,1
2007-04-01,21,6,0,0,6,Dirk Nowitzki,1
2007-04-06,22,4,1,0,11,Dirk Nowitzki,1
2007-04-07,11,2,1,0,4,Dirk Nowitzki,1
2007-04-09,26,1,0,1,6,Dirk Nowitzki,1
2007-04-13,23,0,0,1,4,Dirk Nowitzki,1
2007-04-15,21,4,0,2,4,Dirk Nowitzki,1
2007-04-18,20,5,0,0,5,Dirk Nowitzki,1
2006-10-31,15,13,0,0,3,Steve Nash,2
2006-11-01,20,11,0,1,1,Steve Nash,2
2006-11-03,17,10,0,0,0,Steve Nash,2
2006-11-04,28,13,0,1,4,Steve Nash,2
2006-11-08,20,11,0,1,2,Steve Nash,2
2006-11-09,20,9,0,2,1,Steve Nash,2
2006-11-11,11,9,1,1,6,Steve Nash,2
2006-11-20,19,15,0,1,4,Steve Nash,2
2006-11-22,24,7,0,0,5,Steve Nash,2
2006-11-24,26,13,0,0,2,Steve Nash,2
