DATE,PTS,AST,BLK,STL,TRB,Player,Position,Share
2019-10-24,30,11,1,1,13,Giannis Antetokounmpo,1,0.952
2019-10-26,29,9,2,3,17,Giannis Antetokounmpo,1,0.952
2019-10-28,14,7,2,0,10,Giannis Antetokounmpo,1,0.952
2019-10-30,22,5,2,1,14,Giannis Antetokounmpo,1,0.952
2019-11-01,29,6,0,2,14,Giannis Antetokounmpo,1,0.952
2019-11-02,36,8,4,1,15,Giannis Antetokounmpo,1,0.952
2019-11-04,34,6,0,0,15,Giannis Antetokounmpo,1,0.952
2019-11-06,38,9,2,2,16,Giannis Antetokounmpo,1,0.952
2019-11-08,30,4,2,2,13,Giannis Antetokounmpo,1,0.952
2019-11-10,35,3,1,1,16,Giannis Antetokounmpo,1,0.952
2019-11-14,38,4,1,3,16,Giannis Antetokounmpo,1,0.952
2019-11-16,26,6,1,1,13,Giannis Antetokounmpo,1,0.952
2019-11-18,33,2,1,3,10,Giannis Antetokounmpo,1,0.952
2019-11-20,33,4,1,0,11,Giannis Antetokounmpo,1,0.952
2019-11-21,24,15,1,3,19,Giannis Antetokounmpo,1,0.952
2019-11-23,28,3,1,2,10,Giannis Antetokounmpo,1,0.952
2019-11-25,50,6,0,2,14,Giannis Antetokounmpo,1,0.952
2019-11-27,30,4,4,0,10,Giannis Antetokounmpo,1,0.952
2019-11-29,33,2,2,2,12,Giannis Antetokounmpo,1,0.952
2019-11-30,26,4,0,1,9,Giannis Antetokounmpo,1,0.952
2019-12-02,29,3,0,0,15,Giannis Antetokounmpo,1,0.952
2019-12-04,35,0,2,0,9,Giannis Antetokounmpo,1,0.952
2019-12-06,27,4,0,0,11,Giannis Antetokounmpo,1,0.952
2019-12-09,32,8,1,1,15,Giannis Antetokounmpo,1,0.952
2019-12-13,37,2,0,1,11,Giannis Antetokounmpo,1,0.952
2019-12-14,29,4,1,1,4,Giannis Antetokounmpo,1,0.952
2019-12-16,48,4,1,1,14,Giannis Antetokounmpo,1,0.952
2019-12-19,34,7,1,1,11,Giannis Antetokounmpo,1,0.952
2019-12-21,22,10,0,2,11,Giannis Antetokounmpo,1,0.952
2019-12-22,18,9,2,2,19,Giannis Antetokounmpo,1,0.952
2019-12-25,18,7,1,1,14,Giannis Antetokounmpo,1,0.952
2019-12-30,23,6,0,0,10,Giannis Antetokounmpo,1,0.952
2020-01-01,32,4,2,0,17,Giannis Antetokounmpo,1,0.952
2020-01-04,32,1,0,1,8,Giannis Antetokounmpo,1,0.952
2020-01-06,24,8,1,3,12,Giannis Antetokounmpo,1,0.952
2020-01-08,30,4,0,1,13,Giannis Antetokounmpo,1,0.952
2020-01-10,13,5,0,1,10,Giannis Antetokounmpo,1,0.952
2020-01-11,32,6,0,0,17,Giannis Antetokounmpo,1,0.952
2020-01-14,37,4,1,0,9,Giannis Antetokounmpo,1,0.952
2020-01-16,32,7,2,0,17,Giannis Antetokounmpo,1,0.952
2020-01-18,29,4,0,1,12,Giannis Antetokounmpo,1,0.952
2020-01-20,28,10,1,1,14,Giannis Antetokounmpo,1,0.952
2020-01-24,30,6,1,0,16,Giannis Antetokounmpo,1,0.952
2020-01-31,31,9,2,1,16,Giannis Antetokounmpo,1,0.952
2020-02-02,30,9,1,1,19,Giannis Antetokounmpo,1,0.952
2020-02-04,34,6,1,1,17,Giannis Antetokounmpo,1,0.952
2020-02-06,36,6,0,1,20,Giannis Antetokounmpo,1,0.952
2020-02-08,18,9,2,0,18,Giannis Antetokounmpo,1,0.952
2020-02-20,33,4,1,3,16,Giannis Antetokounmpo,1,0.952
2020-02-22,31,8,1,0,17,Giannis Antetokounmpo,1,0.952
2020-02-24,22,2,1,0,14,Giannis Antetokounmpo,1,0.952
2020-02-25,19,8,3,0,19,Giannis Antetokounmpo,1,0.952
2020-02-28,32,6,0,0,13,Giannis Antetokounmpo,1,0.952
2020-03-01,41,6,0,1,20,Giannis Antetokounmpo,1,0.952
2020-03-02,13,3,1,1,15,Giannis Antetokounmpo,1,0.952
2020-03-04,29,6,0,1,12,Giannis Antetokounmpo,1,0.952
2020-03-06,32,6,0,1,11,Giannis Antetokounmpo,1,0.952
2020-07-31,36,7,1,1,15,Giannis Antetokounmpo,1,0.952
2020-08-02,36,8,1,0,18,Giannis Antetokounmpo,1,0.952
2020-08-04,16,4,0,0,6,Giannis Antetokounmpo,1,0.952
2020-08-06,33,4,1,0,12,Giannis Antetokounmpo,1,0.952
2020-08-08,34,1,5,0,13,Giannis Antetokounmpo,1,0.952
2020-08-11,12,1,0,1,9,Giannis Antetokounmpo,1,0.952
2019-10-22,18,8,1,1,10,LeBron James,2,0.746
2019-10-25,32,10,0,1,7,LeBron James,2,0.746
2019-10-27,20,12,0,1,6,LeBron James,2,0.746
2019-10-29,23,8,1,0,2,LeBron James,2,0.746
2019-11-01,39,16,1,4,12,LeBron James,2,0.746
2019-11-03,21,13,1,2,11,LeBron James,2,0.746
2019-11-05,30,11,1,2,10,LeBron James,2,0.746
2019-11-08,25,6,0,0,4,LeBron James,2,0.746
