DATE,PTS,AST,BLK,STL,TRB,Player,Position
2007-10-30,45,4,1,4,8,Kobe Bryant,1
2007-11-02,16,4,0,3,11,Kobe Bryant,1
2007-11-04,33,3,2,3,6,Kobe Bryant,1
2007-11-06,28,7,3,0,6,Kobe Bryant,1
2007-11-09,30,7,0,4,7,Kobe Bryant,1
2007-11-13,18,5,3,2,9,Kobe Bryant,1
2007-11-14,30,5,1,1,8,Kobe Bryant,1
2007-11-16,19,7,0,1,4,Kobe Bryant,1
2007-11-18,18,3,0,3,5,Kobe Bryant,1
2007-11-20,32,4,0,1,6,Kobe Bryant,1
2007-11-21,27,4,0,1,3,Kobe Bryant,1
2007-11-23,28,3,0,0,4,Kobe Bryant,1
2007-11-25,31,7,0,4,3,Kobe Bryant,1
2007-11-27,35,6,0,0,8,Kobe Bryant,1
2007-11-29,24,7,0,1,6,Kobe Bryant,1
2007-11-30,28,3,0,0,4,Kobe Bryant,1
2007-12-02,28,5,0,2,6,Kobe Bryant,1
2007-12-04,20,5,0,4,3,Kobe Bryant,1
2007-12-05,25,5,1,2,8,Kobe Bryant,1
2007-12-09,28,8,1,3,6,Kobe Bryant,1
2007-12-13,30,3,0,4,7,Kobe Bryant,1
2007-12-14,21,5,1,2,6,Kobe Bryant,1
2007-12-16,32,3,1,1,8,Kobe Bryant,1
2007-12-18,18,2,1,3,6,Kobe Bryant,1
2007-12-20,21,5,0,1,5,Kobe Bryant,1
2007-12-21,19,3,1,2,7,Kobe Bryant,1
2007-12-23,39,8,0,2,11,Kobe Bryant,1
2007-12-25,38,7,0,2,5,Kobe Bryant,1
2007-12-28,31,7,0,4,4,Kobe Bryant,1
2007-12-30,22,3,1,0,6,Kobe Bryant,1
2008-01-04,15,4,0,0,6,Kobe Bryant,1
2008-01-06,26,6,0,3,2,Kobe Bryant,1
2008-01-08,25,6,0,5,3,Kobe Bryant,1
2008-01-09,19,7,0,3,7,Kobe Bryant,1
2008-01-11,37,7,0,2,5,Kobe Bryant,1
2008-01-13,37,4,0,4,3,Kobe Bryant,1
2008-01-14,48,2,0,1,2,Kobe Bryant,1
2008-01-17,30,4,0,2,7,Kobe Bryant,1
2008-01-21,17,11,0,2,5,Kobe Bryant,1
2008-01-23,29,5,0,0,12,Kobe Bryant,1
2008-01-25,40,5,1,1,10,Kobe Bryant,1
2008-01-27,33,6,1,0,12,Kobe Bryant,1
2008-01-29,24,11,1,0,8,Kobe Bryant,1
2008-01-31,39,5,1,2,10,Kobe Bryant,1
2008-02-01,46,5,0,1,7,Kobe Bryant,1
2008-02-03,30,2,0,1,6,Kobe Bryant,1
2008-02-05,6,8,2,2,5,Kobe Bryant,1
2008-02-06,11,10,0,1,1,Kobe Bryant,1
