DATE,PTS,AST,BLK,STL,TRB,Player,Position,Share
2014-10-29,24,5,0,6,10,Stephen Curry,1,0.922
2014-11-01,31,10,0,3,5,Stephen Curry,1,0.922
2014-11-02,21,6,0,2,5,Stephen Curry,1,0.922
2014-11-05,28,7,0,1,6,Stephen Curry,1,0.922
2014-11-08,34,5,0,4,9,Stephen Curry,1,0.922
2014-11-09,28,10,0,5,2,Stephen Curry,1,0.922
2014-11-11,16,5,0,0,6,Stephen Curry,1,0.922
2014-11-13,17,5,0,0,3,Stephen Curry,1,0.922
2014-11-15,19,9,0,1,5,Stephen Curry,1,0.922
2014-11-16,30,15,0,1,4,Stephen Curry,1,0.922
2014-11-21,8,10,0,2,5,Stephen Curry,1,0.922
2014-11-23,15,6,0,1,6,Stephen Curry,1,0.922
2014-11-25,40,7,1,3,6,Stephen Curry,1,0.922
2014-11-26,28,8,0,0,5,Stephen Curry,1,0.922
2014-11-28,26,6,2,1,4,Stephen Curry,1,0.922
2014-11-30,16,10,0,1,3,Stephen Curry,1,0.922
2014-12-02,22,5,0,0,4,Stephen Curry,1,0.922
2014-12-04,19,11,1,4,3,Stephen Curry,1,0.922
2014-12-06,19,7,0,1,6,Stephen Curry,1,0.922
2014-12-08,21,7,1,3,4,Stephen Curry,1,0.922
2014-12-10,20,7,0,0,7,Stephen Curry,1,0.922
2014-12-13,29,8,0,2,3,Stephen Curry,1,0.922
2014-12-14,34,7,0,1,7,Stephen Curry,1,0.922
2014-12-16,19,6,0,4,7,Stephen Curry,1,0.922
2014-12-18,34,9,1,4,7,Stephen Curry,1,0.922
2014-12-22,12,11,0,3,2,Stephen Curry,1,0.922
2014-12-23,22,6,0,3,2,Stephen Curry,1,0.922
2014-12-25,14,7,0,2,9,Stephen Curry,1,0.922
2014-12-27,25,6,0,3,3,Stephen Curry,1,0.922
2014-12-30,13,9,0,3,3,Stephen Curry,1,0.922
2015-01-02,32,12,0,1,5,Stephen Curry,1,0.922
2015-01-05,19,6,0,4,9,Stephen Curry,1,0.922
2015-01-07,21,15,0,4,3,Stephen Curry,1,0.922
2015-01-09,23,10,0,2,1,Stephen Curry,1,0.922
2015-01-13,27,11,0,0,2,Stephen Curry,1,0.922
2015-01-14,32,3,0,2,5,Stephen Curry,1,0.922
2015-01-16,19,6,0,2,3,Stephen Curry,1,0.922
2015-01-17,27,11,1,3,7,Stephen Curry,1,0.922
2015-01-19,20,8,2,1,1,Stephen Curry,1,0.922
2015-01-21,22,10,0,1,3,Stephen Curry,1,0.922
2015-01-23,10,11,0,2,4,Stephen Curry,1,0.922
2015-01-25,22,11,0,2,4,Stephen Curry,1,0.922
2015-01-27,21,9,0,3,4,Stephen Curry,1,0.922
2015-01-30,32,6,0,3,7,Stephen Curry,1,0.922
2015-01-31,25,7,1,2,4,Stephen Curry,1,0.922
2015-02-03,23,9,0,3,5,Stephen Curry,1,0.922
2015-02-04,51,4,0,1,4,Stephen Curry,1,0.922
2015-02-06,26,9,2,2,2,Stephen Curry,1,0.922
2015-02-07,22,0,0,2,6,Stephen Curry,1,0.922
2015-02-09,20,6,0,3,5,Stephen Curry,1,0.922
2015-02-11,25,8,0,3,5,Stephen Curry,1,0.922
2015-02-20,25,11,0,4,4,Stephen Curry,1,0.922
2015-02-24,32,8,0,2,0,Stephen Curry,1,0.922
2015-02-26,18,6,0,1,3,Stephen Curry,1,0.922
2015-02-27,22,5,0,2,6,Stephen Curry,1,0.922
2015-03-01,37,5,0,1,4,Stephen Curry,1,0.922
2015-03-02,26,7,0,1,2,Stephen Curry,1,0.922
2015-03-04,19,11,2,2,1,Stephen Curry,1,0.922
2015-03-06,22,7,1,2,2,Stephen Curry,1,0.922
2015-03-08,12,4,0,3,1,Stephen Curry,1,0.922
2015-03-09,36,5,0,4,6,Stephen Curry,1,0.922
2015-03-11,9,11,0,1,5,Stephen Curry,1,0.922
2015-03-14,25,11,0,3,3,Stephen Curry,1,0.922
2015-03-16,19,9,0,3,4,Stephen Curry,1,0.922
2015-03-18,16,12,0,0,4,Stephen Curry,1,0.922
2015-03-20,16,11,0,0,2,Stephen Curry,1,0.922
2015-03-21,24,3,0,3,3,Stephen Curry,1,0.922
2015-03-23,24,6,0,2,5,Stephen Curry,1,0.922
2015-03-24,33,10,0,1,2,Stephen Curry,1,0.922
2015-03-27,38,10,1,3,3,Stephen Curry,1,0.922
2015-03-28,25,6,0,1,4,Stephen Curry,1,0.922
2015-03-31,27,4,0,1,1,Stephen Curry,1,0.922
2015-04-02,28,5,0,0,8,Stephen Curry,1,0.922
2015-04-04,11,3,0,1,4,Stephen Curry,1,0.922
2015-04-05,24,6,0,1,4,Stephen Curry,1,0.922
2015-04-07,25,9,0,1,6,Stephen Curry,1,0.922
2015-04-09,45,10,0,0,2,Stephen Curry,1,0.922
2015-04-11,34,7,0,4,4,Stephen Curry,1,0.922
2015-04-13,15,8,0,1,4,Stephen Curry,1,0.922
2015-04-15,10,7,0,5,4,Stephen Curry,1,0.922
2014-10-28,32,6,0,1,1,James Harden,2,0.72
2014-10-29,18,10,1,0,7,James Harden,2,0.72
2014-11-01,26,6,1,4,8,James Harden,2,0.72
2014-11-03,35,5,1,1,9,James Harden,2,0.72
2014-11-04,25,10,2,1,9,James Harden,2,0.72
2014-11-06,20,6,3,1,6,James Harden,2,0.72
2014-11-08,22,7,0,2,7,James Harden,2,0.72
2014-11-12,23,10,0,3,4,James Harden,2,0.72
2014-11-14,35,7,1,3,6,James Harden,2,0.72
2014-11-16,19,5,1,1,9,James Harden,2,0.72
2014-11-17,6,4,1,2,5,James Harden,2,0.72
2014-11-19,24,7,1,1,4,James Harden,2,0.72
2014-11-22,32,4,0,2,8,James Harden,2,0.72
2014-11-24,36,6,1,3,6,James Harden,2,0.72
2014-11-26,26,8,3,2,7,James Harden,2,0.72
2014-11-28,16,6,2,2,4,James Harden,2,0.72
2014-11-29,34,7,1,4,6,James Harden,2,0.72
2014-12-03,21,4,1,3,4,James Harden,2,0.72
2014-12-05,38,6,0,0,4,James Harden,2,0.72
2014-12-06,15,7,3,2,12,James Harden,2,0.72
2014-12-10,34,4,0,4,7,James Harden,2,0.72
2014-12-11,44,8,1,3,4,James Harden,2,0.72
2014-12-13,24,10,2,1,10,James Harden,2,0.72
2014-12-17,41,10,0,2,4,James Harden,2,0.72
2014-12-18,21,5,0,0,7,James Harden,2,0.72
2014-12-20,18,14,1,1,6,James Harden,2,0.72
2014-12-22,44,7,0,5,3,James Harden,2,0.72
2014-12-26,32,10,3,0,8,James Harden,2,0.72
2014-12-28,28,5,0,2,2,James Harden,2,0.72
2014-12-29,33,4,0,1,6,James Harden,2,0.72
2014-12-31,36,6,1,2,7,James Harden,2,0.72
2015-01-02,11,3,0,2,2,James Harden,2,0.72
2015-01-03,28,2,0,1,5,James Harden,2,0.72
2015-01-05,20,4,2,1,2,James Harden,2,0.72
2015-01-07,21,9,0,1,7,James Harden,2,0.72
2015-01-08,25,9,0,3,4,James Harden,2,0.72
2015-01-10,30,5,1,1,3,James Harden,2,0.72
2015-01-12,30,6,0,2,3,James Harden,2,0.72
2015-01-14,26,10,1,5,4,James Harden,2,0.72
2015-01-15,31,10,0,1,9,James Harden,2,0.72
2015-01-17,12,4,0,1,4,James Harden,2,0.72
2015-01-19,45,7,1,4,1,James Harden,2,0.72
2015-01-21,33,6,1,2,4,James Harden,2,0.72
2015-01-23,33,10,1,3,6,James Harden,2,0.72
2015-01-25,37,5,0,2,8,James Harden,2,0.72
2015-01-28,17,8,0,4,5,James Harden,2,0.72
2015-01-30,14,7,0,2,6,James Harden,2,0.72
2015-01-31,26,9,1,2,7,James Harden,2,0.72
2015-02-04,27,4,2,1,3,James Harden,2,0.72
2015-02-06,33,5,0,1,3,James Harden,2,0.72
2015-02-08,45,8,0,2,9,James Harden,2,0.72
2015-02-10,40,9,1,3,12,James Harden,2,0.72
