DATE,PTS,AST,BLK,STL,TRB,Player,Position
2005-11-01,30,9,0,1,8,Steve Nash,1
2005-11-03,12,17,0,4,6,Steve Nash,1
2005-11-05,14,11,1,1,1,Steve Nash,1
2005-11-06,18,13,0,0,1,Steve Nash,1
2005-11-10,18,8,0,0,0,Steve Nash,1
2005-11-12,18,10,0,3,2,Steve Nash,1
2005-11-16,17,13,1,3,1,Steve Nash,1
2005-11-18,6,10,0,0,4,Steve Nash,1
2005-11-19,14,10,0,0,8,Steve Nash,1
2005-11-22,23,9,0,0,6,Steve Nash,1
2005-11-23,15,14,0,1,2,Steve Nash,1
2005-11-25,27,6,0,1,3,Steve Nash,1
2005-11-30,31,9,0,0,8,Steve Nash,1
2005-12-02,21,10,0,1,3,Steve Nash,1
2005-12-04,10,7,0,2,4,Steve Nash,1
2005-12-06,14,12,1,0,5,Steve Nash,1
2005-12-07,28,14,0,2,2,Steve Nash,1
2005-12-09,19,9,0,0,4,Steve Nash,1
2005-12-10,16,11,0,0,4,Steve Nash,1
2005-12-12,14,16,1,1,2,Steve Nash,1
2005-12-14,20,5,0,0,3,Steve Nash,1
2005-12-16,18,9,0,0,7,Steve Nash,1
2005-12-17,19,6,0,0,7,Steve Nash,1
2005-12-20,5,8,0,1,5,Steve Nash,1
2005-12-23,27,9,0,0,4,Steve Nash,1
2005-12-26,24,12,1,0,6,Steve Nash,1
2005-12-28,19,16,0,1,4,Steve Nash,1
2005-12-30,24,13,0,4,5,Steve Nash,1
2005-12-31,14,10,0,1,8,Steve Nash,1
2006-01-02,28,22,0,1,5,Steve Nash,1
2006-01-04,24,6,0,1,4,Steve Nash,1
2006-01-06,11,19,0,0,3,Steve Nash,1
2006-01-07,22,10,0,2,3,Steve Nash,1
2006-01-10,26,13,0,1,4,Steve Nash,1
2006-01-12,20,16,0,0,7,Steve Nash,1
2006-01-14,20,15,0,1,3,Steve Nash,1
2006-01-17,7,8,0,0,4,Steve Nash,1
2006-01-18,20,18,0,0,2,Steve Nash,1
2006-01-20,17,12,0,1,9,Steve Nash,1
2006-01-22,28,16,1,1,8,Steve Nash,1
2006-01-24,22,12,0,0,3,Steve Nash,1
2006-01-26,21,14,0,1,6,Steve Nash,1
2006-01-27,22,9,0,2,8,Steve Nash,1
