DATE,PTS,AST,BLK,STL,TRB,Player,Position,Share
2011-12-25,37,6,2,2,10,LeBron James,1,0.888
2011-12-27,26,5,1,2,6,LeBron James,1,0.888
2011-12-28,35,7,2,3,6,LeBron James,1,0.888
2011-12-30,34,10,1,4,8,LeBron James,1,0.888
2012-01-01,16,5,0,1,9,LeBron James,1,0.888
2012-01-02,28,6,0,0,7,LeBron James,1,0.888
2012-01-04,33,13,0,2,8,LeBron James,1,0.888
2012-01-07,32,9,1,2,7,LeBron James,1,0.888
2012-01-10,26,7,0,2,11,LeBron James,1,0.888
2012-01-11,23,7,0,2,13,LeBron James,1,0.888
2012-01-13,35,6,1,2,5,LeBron James,1,0.888
2012-01-17,33,10,0,0,5,LeBron James,1,0.888
2012-01-19,31,8,3,4,8,LeBron James,1,0.888
2012-01-21,28,5,3,4,9,LeBron James,1,0.888
2012-01-22,28,5,0,1,13,LeBron James,1,0.888
2012-01-24,18,5,0,2,5,LeBron James,1,0.888
2012-01-25,32,7,0,2,6,LeBron James,1,0.888
2012-01-27,31,7,0,0,8,LeBron James,1,0.888
2012-01-29,35,5,1,0,11,LeBron James,1,0.888
2012-01-30,22,8,0,1,11,LeBron James,1,0.888
2012-02-01,40,5,0,2,8,LeBron James,1,0.888
2012-02-03,19,8,2,0,12,LeBron James,1,0.888
2012-02-05,30,2,0,1,9,LeBron James,1,0.888
2012-02-07,24,6,0,2,5,LeBron James,1,0.888
2012-02-08,17,10,0,3,6,LeBron James,1,0.888
2012-02-10,18,9,2,0,2,LeBron James,1,0.888
2012-02-12,23,6,0,1,13,LeBron James,1,0.888
2012-02-13,35,3,0,1,8,LeBron James,1,0.888
2012-02-14,23,7,0,4,9,LeBron James,1,0.888
2012-02-17,28,5,1,1,5,LeBron James,1,0.888
2012-02-19,25,8,0,2,11,LeBron James,1,0.888
2012-02-21,18,8,2,0,4,LeBron James,1,0.888
2012-02-23,20,8,2,5,9,LeBron James,1,0.888
2012-03-01,38,6,1,5,11,LeBron James,1,0.888
2012-03-02,35,6,3,0,10,LeBron James,1,0.888
2012-03-04,25,7,2,3,13,LeBron James,1,0.888
2012-03-06,21,6,0,0,9,LeBron James,1,0.888
2012-03-07,31,2,2,1,11,LeBron James,1,0.888
2012-03-10,27,4,1,4,8,LeBron James,1,0.888
2012-03-13,19,8,1,1,11,LeBron James,1,0.888
2012-03-14,35,4,0,4,5,LeBron James,1,0.888
2012-03-16,29,8,2,2,7,LeBron James,1,0.888
2012-03-18,14,7,0,5,12,LeBron James,1,0.888
2012-03-20,20,6,2,2,8,LeBron James,1,0.888
2012-03-23,17,10,1,4,6,LeBron James,1,0.888
2012-03-25,17,7,0,2,3,LeBron James,1,0.888
2012-03-26,24,2,0,1,9,LeBron James,1,0.888
2012-03-29,19,5,0,2,9,LeBron James,1,0.888
2012-03-30,26,9,0,1,4,LeBron James,1,0.888
2012-04-01,23,0,1,0,4,LeBron James,1,0.888
2012-04-03,41,4,1,3,6,LeBron James,1,0.888
2012-04-04,34,10,1,4,7,LeBron James,1,0.888
2012-04-06,21,6,0,2,6,LeBron James,1,0.888
2012-04-08,26,2,1,0,4,LeBron James,1,0.888
2012-04-10,36,7,1,1,7,LeBron James,1,0.888
2012-04-12,30,5,1,1,6,LeBron James,1,0.888
2012-04-13,19,5,1,2,9,LeBron James,1,0.888
2012-04-15,29,3,0,2,10,LeBron James,1,0.888
2012-04-16,37,7,1,2,6,LeBron James,1,0.888
2012-04-18,28,4,0,2,5,LeBron James,1,0.888
2012-04-19,27,6,1,0,11,LeBron James,1,0.888
2012-04-22,32,5,2,1,8,LeBron James,1,0.888
2011-12-25,30,6,0,2,5,Kevin Durant,2,0.735
2011-12-26,33,3,0,1,5,Kevin Durant,2,0.735
2011-12-28,32,3,2,0,8,Kevin Durant,2,0.735
2011-12-29,30,6,2,1,11,Kevin Durant,2,0.735
2011-12-31,12,3,1,2,6,Kevin Durant,2,0.735
2012-01-02,27,0,1,0,2,Kevin Durant,2,0.735
2012-01-03,19,2,3,1,5,Kevin Durant,2,0.735
2012-01-06,26,3,0,1,7,Kevin Durant,2,0.735
2012-01-07,27,2,0,1,6,Kevin Durant,2,0.735
2012-01-08,21,7,0,1,10,Kevin Durant,2,0.735
2012-01-10,22,5,1,0,11,Kevin Durant,2,0.735
2012-01-11,29,3,4,1,10,Kevin Durant,2,0.735
2012-01-14,28,1,1,2,2,Kevin Durant,2,0.735
2012-01-16,28,4,1,1,7,Kevin Durant,2,0.735
2012-01-18,33,2,2,3,8,Kevin Durant,2,0.735
2012-01-21,20,3,1,2,15,Kevin Durant,2,0.735
2012-01-23,20,2,0,2,5,Kevin Durant,2,0.735
2012-01-25,25,4,3,2,7,Kevin Durant,2,0.735
2012-01-27,37,3,0,0,14,Kevin Durant,2,0.735
2012-01-30,36,1,3,0,13,Kevin Durant,2,0.735
2012-02-01,23,3,2,2,13,Kevin Durant,2,0.735
2012-02-03,36,3,3,2,10,Kevin Durant,2,0.735
2012-02-04,22,4,4,1,11,Kevin Durant,2,0.735
2012-02-06,33,5,1,1,7,Kevin Durant,2,0.735
2012-02-07,33,7,1,1,10,Kevin Durant,2,0.735
2012-02-09,27,3,1,2,8,Kevin Durant,2,0.735
2012-02-10,19,2,0,1,5,Kevin Durant,2,0.735
2012-02-14,21,1,2,1,6,Kevin Durant,2,0.735
2012-02-15,33,1,1,1,8,Kevin Durant,2,0.735
2012-02-17,23,6,0,0,10,Kevin Durant,2,0.735
2012-02-19,51,3,0,4,8,Kevin Durant,2,0.735
2012-02-20,31,4,1,2,8,Kevin Durant,2,0.735
