DATE,PTS,AST,BLK,STL,TRB,Player,Position
2000-10-31,25,9,0,0,6,Allen Iverson,1
2000-11-01,24,5,0,4,5,Allen Iverson,1
2000-11-03,29,4,2,2,8,Allen Iverson,1
2000-11-04,23,2,0,1,7,Allen Iverson,1
2000-11-08,28,8,0,2,2,Allen Iverson,1
2000-11-09,18,5,0,0,1,Allen Iverson,1
2000-11-11,17,7,1,1,3,Allen Iverson,1
2000-11-15,22,5,0,2,4,Allen Iverson,1
2000-11-17,19,5,0,2,6,Allen Iverson,1
2000-11-20,26,8,0,5,2,Allen Iverson,1
2000-11-22,7,4,0,3,4,Allen Iverson,1
2000-11-24,21,2,2,3,5,Allen Iverson,1
2000-11-25,21,1,0,0,5,Allen Iverson,1
2000-11-29,29,3,0,3,6,Allen Iverson,1
2000-12-01,37,4,0,3,10,Allen Iverson,1
2000-12-02,27,1,0,3,7,Allen Iverson,1
2000-12-04,37,3,0,2,9,Allen Iverson,1
2000-12-05,27,3,0,2,5,Allen Iverson,1
2000-12-08,30,10,1,4,0,Allen Iverson,1
2000-12-09,18,3,1,1,3,Allen Iverson,1
2000-12-11,26,7,1,2,4,Allen Iverson,1
2000-12-13,25,4,0,5,1,Allen Iverson,1
2000-12-15,26,3,0,1,4,Allen Iverson,1
2000-12-16,33,8,0,2,5,Allen Iverson,1
2000-12-20,45,1,0,4,3,Allen Iverson,1
2000-12-22,19,8,0,2,0,Allen Iverson,1
2000-12-27,29,3,0,2,3,Allen Iverson,1
2000-12-30,46,9,0,3,9,Allen Iverson,1
2001-01-03,21,8,0,1,2,Allen Iverson,1
2001-01-05,41,2,1,3,3,Allen Iverson,1
2001-01-06,54,3,1,3,3,Allen Iverson,1
2001-01-09,22,5,0,1,3,Allen Iverson,1
2001-01-10,12,3,0,1,3,Allen Iverson,1
2001-01-12,29,1,1,3,0,Allen Iverson,1
2001-01-13,40,4,0,3,5,Allen Iverson,1
2001-01-15,35,7,1,5,1,Allen Iverson,1
2001-01-17,43,5,0,4,3,Allen Iverson,1
2001-01-21,51,4,0,1,3,Allen Iverson,1
2001-01-23,30,6,1,5,5,Allen Iverson,1
2001-01-24,32,3,1,3,3,Allen Iverson,1
2001-01-26,44,3,0,5,3,Allen Iverson,1
2001-01-28,27,8,0,2,1,Allen Iverson,1
2001-01-30,38,4,0,0,6,Allen Iverson,1
2001-02-01,31,8,0,2,5,Allen Iverson,1
2001-02-02,47,7,2,2,5,Allen Iverson,1
2001-02-04,32,5,0,4,4,Allen Iverson,1
2001-02-05,37,5,0,3,6,Allen Iverson,1
2001-02-07,26,3,0,0,4,Allen Iverson,1
2001-02-13,49,2,0,2,5,Allen Iverson,1
2001-02-14,40,9,0,3,4,Allen Iverson,1
2001-02-16,42,4,1,4,4,Allen Iverson,1
2001-02-18,26,5,0,3,0,Allen Iverson,1
2001-02-21,36,4,0,4,3,Allen Iverson,1
2001-02-23,43,4,1,1,10,Allen Iverson,1
2001-02-24,47,1,0,2,1,Allen Iverson,1
2001-02-26,26,5,0,0,2,Allen Iverson,1
2001-02-28,27,3,0,4,1,Allen Iverson,1
2001-03-02,41,4,0,2,4,Allen Iverson,1
2001-03-07,38,7,0,4,3,Allen Iverson,1
2001-03-09,47,6,0,4,2,Allen Iverson,1
2001-03-11,11,2,0,3,4,Allen Iverson,1
2001-03-16,28,6,0,2,4,Allen Iverson,1
2001-03-26,36,2,0,6,3,Allen Iverson,1
2001-03-28,37,4,0,3,3,Allen Iverson,1
2001-03-30,35,9,2,4,11,Allen Iverson,1
2001-04-01,37,7,0,3,4,Allen Iverson,1
2001-04-03,18,2,0,0,1,Allen Iverson,1
2001-04-09,37,4,0,1,4,Allen Iverson,1
2001-04-10,41,1,0,1,2,Allen Iverson,1
2001-04-12,12,3,0,4,2,Allen Iverson,1
2001-04-15,27,2,0,3,1,Allen Iverson,1
2000-10-31,16,0,1,2,10,Tim Duncan,2
2000-11-02,24,3,0,0,9,Tim Duncan,2
2000-11-04,16,3,1,1,13,Tim Duncan,2
2000-11-07,18,1,4,0,10,Tim Duncan,2
2000-11-08,22,3,1,0,17,Tim Duncan,2
2000-11-10,11,4,1,2,14,Tim Duncan,2
2000-11-11,20,2,5,0,13,Tim Duncan,2
2000-11-14,15,3,4,2,12,Tim Duncan,2
2000-11-16,19,6,4,2,10,Tim Duncan,2
2000-11-17,22,5,2,1,14,Tim Duncan,2
2000-11-22,11,0,2,0,12,Tim Duncan,2
2000-11-24,21,5,1,1,14,Tim Duncan,2
2000-11-25,10,3,3,0,6,Tim Duncan,2
2000-11-29,22,0,2,0,13,Tim Duncan,2
2000-12-01,24,3,0,1,11,Tim Duncan,2
2000-12-03,30,5,1,1,10,Tim Duncan,2
2000-12-05,23,2,5,1,23,Tim Duncan,2
2000-12-07,28,2,2,0,10,Tim Duncan,2
2000-12-09,17,3,1,0,10,Tim Duncan,2
2000-12-11,13,1,1,0,9,Tim Duncan,2
2000-12-13,15,3,2,1,11,Tim Duncan,2
2000-12-14,17,4,2,0,8,Tim Duncan,2
2000-12-16,17,2,3,0,8,Tim Duncan,2
2000-12-19,25,1,3,1,15,Tim Duncan,2
2000-12-20,14,3,3,0,12,Tim Duncan,2
2000-12-22,18,4,2,0,13,Tim Duncan,2
2000-12-23,29,0,1,1,16,Tim Duncan,2
2000-12-26,20,2,2,1,10,Tim Duncan,2
2000-12-28,25,6,2,0,7,Tim Duncan,2
2000-12-30,8,2,1,2,5,Tim Duncan,2
2001-01-02,15,4,3,0,10,Tim Duncan,2
2001-01-06,24,4,5,1,13,Tim Duncan,2
2001-01-09,19,2,5,1,11,Tim Duncan,2
2001-01-12,20,7,1,1,11,Tim Duncan,2
2001-01-13,29,3,0,3,6,Tim Duncan,2
2001-01-15,14,1,1,0,10,Tim Duncan,2
2001-01-17,22,3,5,1,11,Tim Duncan,2
2001-01-20,29,2,3,1,17,Tim Duncan,2
