DATE,PTS,AST,TRB,Player,Position
2020-12-23,29,14,15,Nikola Jokić,1
2020-12-25,24,10,9,Nikola Jokić,1
2020-12-28,19,18,12,Nikola Jokić,1
2020-12-29,26,12,10,Nikola Jokić,1
2021-01-01,17,11,9,Nikola Jokić,1
2021-01-03,19,12,12,Nikola Jokić,1
2021-01-05,35,6,15,Nikola Jokić,1
2021-01-07,38,4,11,Nikola Jokić,1
2021-01-09,15,12,9,Nikola Jokić,1
2021-01-10,22,5,10,Nikola Jokić,1
2021-01-12,23,11,8,Nikola Jokić,1
2021-01-14,23,10,14,Nikola Jokić,1
2021-01-17,35,9,14,Nikola Jokić,1
2021-01-19,27,6,12,Nikola Jokić,1
2021-01-22,31,8,10,Nikola Jokić,1
2021-01-23,29,6,22,Nikola Jokić,1
2021-01-25,20,4,10,Nikola Jokić,1
2021-01-27,21,3,11,Nikola Jokić,1
2021-01-29,35,5,10,Nikola Jokić,1
2021-01-31,47,5,12,Nikola Jokić,1
2021-02-04,13,6,9,Nikola Jokić,1
2021-02-06,50,12,8,Nikola Jokić,1
2021-02-08,35,6,12,Nikola Jokić,1
2021-02-10,12,12,6,Nikola Jokić,1
2021-02-12,22,9,13,Nikola Jokić,1
2021-02-14,23,10,16,Nikola Jokić,1
2021-02-16,43,5,6,Nikola Jokić,1
2021-02-17,33,9,7,Nikola Jokić,1
2021-02-19,16,10,12,Nikola Jokić,1
2021-02-21,15,6,10,Nikola Jokić,1
2021-02-23,41,5,5,Nikola Jokić,1
2021-02-25,24,7,11,Nikola Jokić,1
2021-02-27,19,13,11,Nikola Jokić,1
2021-03-01,39,9,14,Nikola Jokić,1
2021-03-02,37,11,10,Nikola Jokić,1
2021-03-04,20,8,12,Nikola Jokić,1
2021-03-12,28,7,15,Nikola Jokić,1
2021-03-13,26,11,9,Nikola Jokić,1
2021-03-15,32,5,14,Nikola Jokić,1
2021-03-17,12,10,10,Nikola Jokić,1
2021-03-19,34,9,15,Nikola Jokić,1
2021-03-21,29,10,10,Nikola Jokić,1
2021-03-23,28,10,15,Nikola Jokić,1
2021-03-24,20,5,10,Nikola Jokić,1
2021-03-26,37,9,6,Nikola Jokić,1
2021-03-28,16,8,10,Nikola Jokić,1
2021-03-30,21,5,10,Nikola Jokić,1
2021-04-01,14,7,7,Nikola Jokić,1
2021-04-04,17,16,9,Nikola Jokić,1
2021-04-06,27,11,8,Nikola Jokić,1
2021-04-07,25,10,9,Nikola Jokić,1
2021-04-09,26,14,13,Nikola Jokić,1
2021-04-11,17,11,10,Nikola Jokić,1
2021-04-12,27,8,12,Nikola Jokić,1
2021-04-14,17,11,10,Nikola Jokić,1
2021-04-16,29,7,16,Nikola Jokić,1
2021-04-19,47,8,15,Nikola Jokić,1
2021-04-21,25,5,9,Nikola Jokić,1
