DATE,PTS,AST,BLK,STL,TRB,Player,Position,Share
2017-10-17,27,11,0,1,6,James Harden,1,0.955
2017-10-18,27,9,0,2,3,James Harden,1,0.955
2017-10-21,29,7,0,2,3,James Harden,1,0.955
2017-10-23,22,8,0,1,5,James Harden,1,0.955
2017-10-25,27,13,3,1,3,James Harden,1,0.955
2017-10-27,27,11,0,1,10,James Harden,1,0.955
2017-10-28,20,8,0,2,4,James Harden,1,0.955
2017-10-30,29,7,1,4,4,James Harden,1,0.955
2017-11-01,31,9,0,0,5,James Harden,1,0.955
2017-11-03,29,11,0,1,3,James Harden,1,0.955
2017-11-05,56,13,0,2,2,James Harden,1,0.955
2017-11-09,35,13,1,5,11,James Harden,1,0.955
2017-11-11,38,8,1,0,4,James Harden,1,0.955
2017-11-12,26,15,0,2,5,James Harden,1,0.955
2017-11-14,38,11,1,0,6,James Harden,1,0.955
2017-11-16,48,7,1,2,2,James Harden,1,0.955
2017-11-18,29,7,0,3,5,James Harden,1,0.955
2017-11-22,21,9,0,0,8,James Harden,1,0.955
2017-11-25,37,10,0,3,2,James Harden,1,0.955
2017-11-27,37,8,2,2,10,James Harden,1,0.955
2017-11-29,29,10,0,1,8,James Harden,1,0.955
2017-12-03,36,9,0,2,4,James Harden,1,0.955
2017-12-07,29,3,0,1,6,James Harden,1,0.955
2017-12-09,48,3,0,3,8,James Harden,1,0.955
2017-12-11,26,17,0,6,1,James Harden,1,0.955
2017-12-13,21,8,1,1,4,James Harden,1,0.955
2017-12-15,28,6,1,2,7,James Harden,1,0.955
2017-12-16,31,5,1,0,6,James Harden,1,0.955
2017-12-18,26,6,1,2,6,James Harden,1,0.955
2017-12-20,51,9,1,1,3,James Harden,1,0.955
2017-12-22,51,8,0,3,4,James Harden,1,0.955
2017-12-25,29,14,1,2,8,James Harden,1,0.955
2017-12-28,34,10,0,2,6,James Harden,1,0.955
2017-12-29,20,4,1,1,1,James Harden,1,0.955
2017-12-31,40,11,2,2,2,James Harden,1,0.955
2018-01-18,10,7,2,2,2,James Harden,1,0.955
2018-01-20,22,8,2,2,2,James Harden,1,0.955
2018-01-22,28,5,2,2,2,James Harden,1,0.955
2018-01-24,25,13,1,1,5,James Harden,1,0.955
2018-01-26,23,11,1,2,5,James Harden,1,0.955
2018-01-28,27,8,1,2,10,James Harden,1,0.955
2018-01-30,60,11,1,4,10,James Harden,1,0.955
2018-02-01,28,11,2,1,2,James Harden,1,0.955
2018-02-03,16,9,0,2,6,James Harden,1,0.955
2018-02-06,36,5,1,0,4,James Harden,1,0.955
2018-02-07,41,6,1,3,4,James Harden,1,0.955
2018-02-09,28,11,0,0,7,James Harden,1,0.955
2018-02-11,27,5,1,2,6,James Harden,1,0.955
2018-02-13,34,13,1,0,6,James Harden,1,0.955
2018-02-14,28,9,1,2,9,James Harden,1,0.955
2018-02-23,31,9,0,2,2,James Harden,1,0.955
2018-02-25,41,7,0,1,8,James Harden,1,0.955
2018-02-26,26,5,0,4,11,James Harden,1,0.955
2018-02-28,25,7,1,2,3,James Harden,1,0.955
2018-03-03,26,10,1,5,7,James Harden,1,0.955
2018-03-06,23,11,1,4,5,James Harden,1,0.955
2018-03-07,26,6,1,4,5,James Harden,1,0.955
2018-03-09,40,4,1,0,2,James Harden,1,0.955
2018-03-12,28,6,0,0,6,James Harden,1,0.955
2018-03-15,24,7,1,1,5,James Harden,1,0.955
2018-03-17,32,8,0,2,11,James Harden,1,0.955
2018-03-18,34,12,1,2,4,James Harden,1,0.955
2018-03-20,42,7,0,0,6,James Harden,1,0.955
2018-03-22,21,5,2,2,8,James Harden,1,0.955
2018-03-24,27,8,1,1,6,James Harden,1,0.955
2018-03-25,18,15,0,2,10,James Harden,1,0.955
2018-03-30,28,10,1,2,8,James Harden,1,0.955
2018-04-01,25,8,0,0,3,James Harden,1,0.955
2018-04-03,38,9,1,1,10,James Harden,1,0.955
2018-04-05,24,7,0,1,6,James Harden,1,0.955
2018-04-07,26,9,1,1,4,James Harden,1,0.955
2018-04-10,21,10,1,1,4,James Harden,1,0.955
2017-10-17,29,9,2,0,16,LeBron James,2,0.731
2017-10-20,24,8,1,1,5,LeBron James,2,0.731
2017-10-21,22,2,1,1,4,LeBron James,2,0.731
2017-10-24,34,13,0,3,2,LeBron James,2,0.731
2017-10-25,29,13,4,0,10,LeBron James,2,0.731
2017-10-28,18,8,0,0,3,LeBron James,2,0.731
2017-10-29,16,7,0,2,10,LeBron James,2,0.731
2017-11-01,33,11,1,2,6,LeBron James,2,0.731
2017-11-03,57,7,2,3,11,LeBron James,2,0.731
2017-11-05,26,13,2,1,5,LeBron James,2,0.731
