DATE,PTS,AST,BLK,STL,TRB,Player,Position,Share
2013-10-30,42,1,0,3,6,Kevin Durant,1,0.986
2013-11-01,13,1,2,0,4,Kevin Durant,1,0.986
2013-11-03,33,1,0,2,10,Kevin Durant,1,0.986
2013-11-06,23,10,0,2,3,Kevin Durant,1,0.986
2013-11-08,37,7,1,3,8,Kevin Durant,1,0.986
2013-11-10,33,6,1,0,13,Kevin Durant,1,0.986
2013-11-13,33,10,0,2,6,Kevin Durant,1,0.986
2013-11-14,20,8,0,0,7,Kevin Durant,1,0.986
2013-11-16,24,2,0,1,5,Kevin Durant,1,0.986
2013-11-18,38,6,1,1,8,Kevin Durant,1,0.986
2013-11-21,28,8,0,1,6,Kevin Durant,1,0.986
2013-11-24,19,2,0,2,9,Kevin Durant,1,0.986
2013-11-27,24,4,0,0,13,Kevin Durant,1,0.986
2013-11-29,25,5,2,0,13,Kevin Durant,1,0.986
2013-12-01,32,12,4,4,10,Kevin Durant,1,0.986
2013-12-03,27,3,1,2,11,Kevin Durant,1,0.986
2013-12-04,33,0,2,1,7,Kevin Durant,1,0.986
2013-12-06,29,4,3,2,8,Kevin Durant,1,0.986
2013-12-08,36,5,0,1,10,Kevin Durant,1,0.986
2013-12-10,30,5,2,1,10,Kevin Durant,1,0.986
2013-12-11,18,3,1,2,6,Kevin Durant,1,0.986
2013-12-13,31,5,1,4,8,Kevin Durant,1,0.986
2013-12-15,28,5,2,1,9,Kevin Durant,1,0.986
2013-12-17,30,3,0,2,6,Kevin Durant,1,0.986
2013-12-19,32,6,1,3,9,Kevin Durant,1,0.986
2013-12-21,17,3,1,2,5,Kevin Durant,1,0.986
2013-12-22,24,3,0,0,8,Kevin Durant,1,0.986
2013-12-25,29,6,0,2,7,Kevin Durant,1,0.986
2013-12-27,34,6,0,0,12,Kevin Durant,1,0.986
2013-12-29,33,5,1,1,13,Kevin Durant,1,0.986
2013-12-31,37,3,0,1,14,Kevin Durant,1,0.986
2014-01-02,24,4,2,0,4,Kevin Durant,1,0.986
2014-01-04,48,7,1,2,7,Kevin Durant,1,0.986
2014-01-05,21,8,0,3,7,Kevin Durant,1,0.986
2014-01-07,48,5,2,4,7,Kevin Durant,1,0.986
2014-01-09,30,4,0,2,3,Kevin Durant,1,0.986
2014-01-11,33,7,1,0,10,Kevin Durant,1,0.986
2014-01-14,37,4,0,1,4,Kevin Durant,1,0.986
2014-01-16,36,7,0,0,5,Kevin Durant,1,0.986
2014-01-17,54,6,1,2,4,Kevin Durant,1,0.986
2014-01-19,30,9,2,4,6,Kevin Durant,1,0.986
2014-01-21,46,4,0,0,5,Kevin Durant,1,0.986
2014-01-22,36,5,1,1,7,Kevin Durant,1,0.986
2014-01-25,32,10,1,2,14,Kevin Durant,1,0.986
2014-01-27,41,5,3,2,4,Kevin Durant,1,0.986
2014-01-29,33,5,0,2,7,Kevin Durant,1,0.986
2014-01-31,26,7,0,1,3,Kevin Durant,1,0.986
2014-02-01,26,7,0,0,4,Kevin Durant,1,0.986
2014-02-03,31,8,1,1,8,Kevin Durant,1,0.986
2014-02-05,26,7,0,1,9,Kevin Durant,1,0.986
2014-02-07,29,12,1,0,5,Kevin Durant,1,0.986
2014-02-09,41,9,2,1,10,Kevin Durant,1,0.986
2014-02-11,36,2,0,1,10,Kevin Durant,1,0.986
2014-02-13,43,7,0,3,12,Kevin Durant,1,0.986
2014-02-20,28,3,0,2,8,Kevin Durant,1,0.986
2014-02-23,42,10,0,2,3,Kevin Durant,1,0.986
2014-02-26,28,9,0,1,10,Kevin Durant,1,0.986
2014-02-28,37,5,1,2,6,Kevin Durant,1,0.986
2014-03-02,28,5,0,0,6,Kevin Durant,1,0.986
2014-03-04,42,3,1,2,9,Kevin Durant,1,0.986
2014-03-06,34,5,0,0,7,Kevin Durant,1,0.986
2014-03-09,27,12,0,0,10,Kevin Durant,1,0.986
