DATE,PTS,AST,BLK,STL,TRB,Player,Position
2021-10-20,27,2,0,2,13,Nikola Jokić,1
2021-10-22,32,7,1,3,16,Nikola Jokić,1
2021-10-25,24,3,0,3,19,Nikola Jokić,1
2021-10-26,24,6,0,0,6,Nikola Jokić,1
2021-10-29,11,8,0,1,16,Nikola Jokić,1
2021-10-30,26,7,2,1,19,Nikola Jokić,1
2021-11-01,23,7,4,0,7,Nikola Jokić,1
2021-11-03,34,5,0,2,11,Nikola Jokić,1
2021-11-06,28,2,1,2,14,Nikola Jokić,1
2021-11-08,25,10,2,2,15,Nikola Jokić,1
2021-11-12,22,10,0,1,19,Nikola Jokić,1
2021-11-14,28,9,0,0,9,Nikola Jokić,1
2021-11-15,35,6,2,0,16,Nikola Jokić,1
2021-11-18,30,7,1,0,10,Nikola Jokić,1
2021-11-29,24,7,0,1,15,Nikola Jokić,1
2021-12-01,18,7,0,1,15,Nikola Jokić,1
2021-12-04,32,5,0,0,11,Nikola Jokić,1
2021-12-06,17,15,0,2,12,Nikola Jokić,1
2021-12-08,39,11,0,1,11,Nikola Jokić,1
2021-12-09,22,10,1,2,13,Nikola Jokić,1
2021-12-11,35,8,2,1,17,Nikola Jokić,1
2021-12-13,28,9,1,3,19,Nikola Jokić,1
2021-12-15,27,11,0,1,10,Nikola Jokić,1
2021-12-17,20,7,0,3,10,Nikola Jokić,1
2021-12-22,13,3,2,0,7,Nikola Jokić,1
2021-12-23,29,5,0,2,21,Nikola Jokić,1
2021-12-26,26,8,2,2,22,Nikola Jokić,1
2021-12-28,22,5,1,4,19,Nikola Jokić,1
2022-01-01,24,3,1,0,11,Nikola Jokić,1
2022-01-03,27,3,0,2,16,Nikola Jokić,1
2022-01-05,26,11,2,0,21,Nikola Jokić,1
2022-01-07,33,7,2,2,10,Nikola Jokić,1
2022-01-09,22,6,0,1,18,Nikola Jokić,1
2022-01-11,21,8,0,1,13,Nikola Jokić,1
2022-01-13,20,7,2,0,8,Nikola Jokić,1
2022-01-15,17,13,0,1,12,Nikola Jokić,1
2022-01-16,25,14,0,2,15,Nikola Jokić,1
2022-01-19,49,10,1,3,14,Nikola Jokić,1
2022-01-21,26,12,1,2,11,Nikola Jokić,1
2022-01-23,34,8,1,2,9,Nikola Jokić,1
2022-01-25,28,9,0,1,21,Nikola Jokić,1
2022-01-26,26,8,0,1,10,Nikola Jokić,1
2022-01-28,29,10,0,2,13,Nikola Jokić,1
2022-01-30,18,15,1,3,10,Nikola Jokić,1
2022-02-01,21,8,0,1,16,Nikola Jokić,1
2022-02-04,25,9,0,2,12,Nikola Jokić,1
2022-02-06,27,10,1,2,12,Nikola Jokić,1
2022-02-08,21,7,0,0,11,Nikola Jokić,1
2022-02-11,23,11,2,0,16,Nikola Jokić,1
2022-02-12,28,6,2,0,15,Nikola Jokić,1
2022-02-14,26,7,0,1,15,Nikola Jokić,1
2022-02-16,35,8,0,1,17,Nikola Jokić,1
2022-02-24,25,9,1,4,12,Nikola Jokić,1
2022-02-26,18,11,0,0,10,Nikola Jokić,1
2022-02-27,8,11,0,1,18,Nikola Jokić,1
2022-03-02,22,4,0,2,16,Nikola Jokić,1
2022-03-06,46,11,4,3,12,Nikola Jokić,1
2022-03-07,32,13,1,0,15,Nikola Jokić,1
2022-03-09,38,7,2,1,18,Nikola Jokić,1
2022-03-10,23,9,1,1,12,Nikola Jokić,1
2022-03-12,26,7,2,0,10,Nikola Jokić,1
2022-03-14,22,8,2,2,13,Nikola Jokić,1
2022-03-16,29,8,1,2,13,Nikola Jokić,1
2022-03-18,32,8,1,2,10,Nikola Jokić,1
2022-03-20,23,4,1,1,8,Nikola Jokić,1
2022-03-22,30,6,3,2,14,Nikola Jokić,1
2022-03-24,28,6,0,3,6,Nikola Jokić,1
2022-03-26,35,8,2,2,12,Nikola Jokić,1
2022-03-28,26,11,0,2,19,Nikola Jokić,1
2022-03-30,37,9,1,2,13,Nikola Jokić,1
2022-04-01,38,8,0,1,19,Nikola Jokić,1
2022-04-03,38,6,2,2,18,Nikola Jokić,1
2022-04-05,41,4,0,2,17,Nikola Jokić,1
2022-04-07,35,6,1,4,16,Nikola Jokić,1
2021-10-20,22,5,1,1,6,Joel Embiid,2
2021-10-22,19,4,4,2,8,Joel Embiid,2
2021-10-24,22,6,3,1,9,Joel Embiid,2
2021-10-26,14,3,1,1,6,Joel Embiid,2
2021-10-28,30,3,0,1,18,Joel Embiid,2
2021-10-30,19,2,1,0,5,Joel Embiid,2
2021-11-03,18,7,1,1,9,Joel Embiid,2
2021-11-04,19,3,0,1,9,Joel Embiid,2
2021-11-06,30,3,2,0,16,Joel Embiid,2
2021-11-27,42,3,2,1,14,Joel Embiid,2
2021-11-29,16,5,2,0,13,Joel Embiid,2
2021-12-01,13,6,3,2,18,Joel Embiid,2
2021-12-03,28,4,2,1,12,Joel Embiid,2
2021-12-06,43,7,0,1,15,Joel Embiid,2
2021-12-08,32,4,0,1,8,Joel Embiid,2
2021-12-09,19,2,1,3,9,Joel Embiid,2
2021-12-11,26,4,0,2,9,Joel Embiid,2
2021-12-15,17,5,1,1,14,Joel Embiid,2
2021-12-16,32,6,0,1,9,Joel Embiid,2
2021-12-20,41,5,4,2,10,Joel Embiid,2
2021-12-23,23,2,2,1,10,Joel Embiid,2
2021-12-26,36,1,2,1,13,Joel Embiid,2
2021-12-28,36,4,1,1,11,Joel Embiid,2
2021-12-30,34,1,1,3,7,Joel Embiid,2
2022-01-03,31,10,2,1,15,Joel Embiid,2
2022-01-05,31,4,1,1,5,Joel Embiid,2
2022-01-07,31,7,1,0,12,Joel Embiid,2
2022-01-10,31,6,2,1,8,Joel Embiid,2
2022-01-12,31,3,1,0,6,Joel Embiid,2
2022-01-14,25,6,1,1,13,Joel Embiid,2
2022-01-15,32,3,1,1,12,Joel Embiid,2
2022-01-17,32,1,0,0,8,Joel Embiid,2
2022-01-19,50,2,3,1,12,Joel Embiid,2
2022-01-21,40,6,1,0,13,Joel Embiid,2
2022-01-23,38,6,1,0,12,Joel Embiid,2
2022-01-25,42,4,4,0,14,Joel Embiid,2
2022-01-27,26,7,2,1,9,Joel Embiid,2
2022-01-29,36,6,1,0,12,Joel Embiid,2
2022-02-02,27,6,1,1,14,Joel Embiid,2
2022-02-04,27,4,3,2,13,Joel Embiid,2
2022-02-06,40,3,1,0,10,Joel Embiid,2
2022-02-08,34,3,0,3,12,Joel Embiid,2
2022-02-11,25,4,5,1,19,Joel Embiid,2
2022-02-12,40,10,0,3,14,Joel Embiid,2
2022-02-15,19,6,1,0,9,Joel Embiid,2
2022-02-17,42,5,0,1,14,Joel Embiid,2
2022-02-25,34,3,0,1,10,Joel Embiid,2
2022-02-27,37,3,4,1,9,Joel Embiid,2
2022-03-02,27,4,2,1,12,Joel Embiid,2
2022-03-04,22,5,0,2,9,Joel Embiid,2
2022-03-05,22,2,0,2,15,Joel Embiid,2
2022-03-07,43,2,3,2,14,Joel Embiid,2
2022-03-10,27,2,1,0,12,Joel Embiid,2
2022-03-13,35,7,2,1,16,Joel Embiid,2
2022-03-14,34,4,2,1,9,Joel Embiid,2
2022-03-16,35,5,0,0,17,Joel Embiid,2
2022-03-18,32,4,1,5,8,Joel Embiid,2
2022-03-20,21,2,1,1,13,Joel Embiid,2
2022-03-23,30,3,3,3,10,Joel Embiid,2
2022-03-25,27,2,2,1,10,Joel Embiid,2
2022-03-27,37,2,2,3,15,Joel Embiid,2
2022-03-29,29,7,0,1,14,Joel Embiid,2
2022-03-31,37,3,2,1,15,Joel Embiid,2
2022-04-02,29,6,0,0,14,Joel Embiid,2
2022-04-03,44,3,5,1,17,Joel Embiid,2
2022-04-05,45,2,1,0,13,Joel Embiid,2
2022-04-07,30,2,1,1,10,Joel Embiid,2
2022-04-09,41,4,1,2,20,Joel Embiid,2
2021-10-19,32,7,2,1,14,Giannis Antetokounmpo,3
2021-10-21,15,2,0,3,10,Giannis Antetokounmpo,3
2021-10-23,21,8,3,0,8,Giannis Antetokounmpo,3
2021-10-25,30,9,2,1,10,Giannis Antetokounmpo,3
2021-10-27,40,7,3,0,16,Giannis Antetokounmpo,3
2021-10-30,28,3,0,0,13,Giannis Antetokounmpo,3
2021-10-31,25,6,2,2,7,Giannis Antetokounmpo,3
2021-11-02,28,9,4,0,8,Giannis Antetokounmpo,3
2021-11-05,25,4,0,2,7,Giannis Antetokounmpo,3
2021-11-07,29,5,1,3,18,Giannis Antetokounmpo,3
2021-11-09,31,4,2,0,16,Giannis Antetokounmpo,3
2021-11-10,15,8,2,1,15,Giannis Antetokounmpo,3
2021-11-14,26,6,1,1,5,Giannis Antetokounmpo,3
2021-11-17,47,3,1,1,9,Giannis Antetokounmpo,3
2021-11-19,21,7,4,2,19,Giannis Antetokounmpo,3
2021-11-20,32,5,3,2,20,Giannis Antetokounmpo,3
2021-11-22,12,9,2,1,8,Giannis Antetokounmpo,3
2021-11-24,33,5,2,2,7,Giannis Antetokounmpo,3
2021-11-26,24,7,1,0,13,Giannis Antetokounmpo,3
2021-11-28,26,3,1,0,13,Giannis Antetokounmpo,3
2021-12-01,40,9,0,1,12,Giannis Antetokounmpo,3
2021-12-06,27,2,1,0,12,Giannis Antetokounmpo,3
2021-12-08,15,4,1,1,6,Giannis Antetokounmpo,3
2021-12-10,41,5,2,3,17,Giannis Antetokounmpo,3
2021-12-12,20,11,1,1,10,Giannis Antetokounmpo,3
2021-12-13,20,3,0,1,8,Giannis Antetokounmpo,3
2021-12-25,36,5,2,0,12,Giannis Antetokounmpo,3
2021-12-28,28,6,1,0,6,Giannis Antetokounmpo,3
2021-12-30,33,5,2,2,12,Giannis Antetokounmpo,3
2022-01-01,35,10,0,2,16,Giannis Antetokounmpo,3
2022-01-03,31,7,0,1,10,Giannis Antetokounmpo,3
2022-01-07,31,9,0,0,7,Giannis Antetokounmpo,3
2022-01-08,43,3,2,1,12,Giannis Antetokounmpo,3
2022-01-10,26,8,1,1,13,Giannis Antetokounmpo,3
2022-01-13,30,11,3,0,12,Giannis Antetokounmpo,3
2022-01-15,30,4,2,0,6,Giannis Antetokounmpo,3
2022-01-17,27,6,1,1,6,Giannis Antetokounmpo,3
2022-01-19,33,7,1,2,15,Giannis Antetokounmpo,3
2022-01-21,30,3,2,1,12,Giannis Antetokounmpo,3
2022-01-26,26,3,0,1,9,Giannis Antetokounmpo,3
2022-01-28,38,5,0,1,13,Giannis Antetokounmpo,3
2022-01-30,29,2,1,1,9,Giannis Antetokounmpo,3
2022-02-01,33,11,2,0,15,Giannis Antetokounmpo,3
2022-02-05,29,6,1,0,9,Giannis Antetokounmpo,3
2022-02-06,28,5,2,1,10,Giannis Antetokounmpo,3
2022-02-08,44,8,2,1,14,Giannis Antetokounmpo,3
2022-02-10,18,8,1,0,7,Giannis Antetokounmpo,3
2022-02-15,50,4,0,0,14,Giannis Antetokounmpo,3
2022-02-17,32,9,1,3,11,Giannis Antetokounmpo,3
2022-02-26,29,6,0,1,14,Giannis Antetokounmpo,3
2022-02-28,26,6,4,2,16,Giannis Antetokounmpo,3
2022-03-02,28,5,1,2,17,Giannis Antetokounmpo,3
2022-03-04,34,5,1,2,16,Giannis Antetokounmpo,3
2022-03-06,19,6,3,1,13,Giannis Antetokounmpo,3
2022-03-08,39,7,1,3,7,Giannis Antetokounmpo,3
2022-03-09,43,5,0,1,12,Giannis Antetokounmpo,3
2022-03-12,31,3,1,0,8,Giannis Antetokounmpo,3
2022-03-14,30,4,0,1,15,Giannis Antetokounmpo,3
2022-03-16,36,2,1,2,10,Giannis Antetokounmpo,3
2022-03-22,25,5,3,1,17,Giannis Antetokounmpo,3
2022-03-26,30,4,4,0,11,Giannis Antetokounmpo,3
