DATE,PTS,AST,BLK,STL,TRB,Player,Position,Share
2015-10-27,40,7,0,2,6,Stephen Curry,1,1.0
2015-10-30,25,6,0,1,7,Stephen Curry,1,1.0
2015-10-31,53,9,0,4,4,Stephen Curry,1,1.0
2015-11-02,30,3,1,3,3,Stephen Curry,1,1.0
2015-11-04,31,4,0,1,5,Stephen Curry,1,1.0
2015-11-06,34,10,1,3,7,Stephen Curry,1,1.0
2015-11-07,24,3,0,2,6,Stephen Curry,1,1.0
2015-11-09,22,5,0,3,5,Stephen Curry,1,1.0
2015-11-11,28,5,1,5,5,Stephen Curry,1,1.0
2015-11-12,46,4,0,2,5,Stephen Curry,1,1.0
2015-11-14,34,6,0,1,3,Stephen Curry,1,1.0
2015-11-17,37,9,0,2,2,Stephen Curry,1,1.0
2015-11-19,40,4,0,3,11,Stephen Curry,1,1.0
2015-11-20,27,4,0,4,5,Stephen Curry,1,1.0
2015-11-22,19,7,0,3,4,Stephen Curry,1,1.0
2015-11-24,24,9,0,2,4,Stephen Curry,1,1.0
2015-11-27,41,8,0,2,6,Stephen Curry,1,1.0
2015-11-28,19,6,0,3,4,Stephen Curry,1,1.0
2015-11-30,26,5,0,2,6,Stephen Curry,1,1.0
2015-12-02,40,5,0,0,3,Stephen Curry,1,1.0
2015-12-05,44,7,0,0,2,Stephen Curry,1,1.0
2015-12-06,28,2,0,1,5,Stephen Curry,1,1.0
2015-12-08,29,10,0,3,7,Stephen Curry,1,1.0
2015-12-11,38,8,0,2,11,Stephen Curry,1,1.0
2015-12-12,28,5,0,1,7,Stephen Curry,1,1.0
2015-12-16,25,7,0,1,2,Stephen Curry,1,1.0
2015-12-18,26,9,0,2,10,Stephen Curry,1,1.0
2015-12-23,16,9,0,3,5,Stephen Curry,1,1.0
2015-12-25,19,7,0,2,7,Stephen Curry,1,1.0
2015-12-28,23,10,0,2,14,Stephen Curry,1,1.0
2016-01-02,5,4,0,2,1,Stephen Curry,1,1.0
2016-01-04,30,4,0,2,3,Stephen Curry,1,1.0
2016-01-05,17,6,0,3,1,Stephen Curry,1,1.0
2016-01-08,26,9,0,1,3,Stephen Curry,1,1.0
2016-01-09,38,11,1,1,6,Stephen Curry,1,1.0
2016-01-11,31,6,0,1,2,Stephen Curry,1,1.0
2016-01-13,38,9,1,3,5,Stephen Curry,1,1.0
2016-01-14,26,3,0,1,6,Stephen Curry,1,1.0
2016-01-16,38,5,0,2,7,Stephen Curry,1,1.0
2016-01-18,35,4,0,3,5,Stephen Curry,1,1.0
2016-01-20,25,11,1,2,7,Stephen Curry,1,1.0
2016-01-22,39,12,0,1,10,Stephen Curry,1,1.0
2016-01-25,37,3,0,5,2,Stephen Curry,1,1.0
2016-01-27,14,9,1,3,2,Stephen Curry,1,1.0
2016-01-30,23,6,2,1,5,Stephen Curry,1,1.0
2016-01-31,13,4,0,3,4,Stephen Curry,1,1.0
2016-02-03,51,2,0,3,7,Stephen Curry,1,1.0
2016-02-06,26,10,0,3,6,Stephen Curry,1,1.0
2016-02-09,35,9,0,1,5,Stephen Curry,1,1.0
2016-02-10,26,9,1,1,9,Stephen Curry,1,1.0
2016-02-19,31,5,0,2,3,Stephen Curry,1,1.0
2016-02-20,23,9,0,3,3,Stephen Curry,1,1.0
2016-02-22,36,8,0,3,6,Stephen Curry,1,1.0
2016-02-24,42,7,1,1,7,Stephen Curry,1,1.0
2016-02-25,51,8,1,0,7,Stephen Curry,1,1.0
2016-02-27,46,6,0,2,3,Stephen Curry,1,1.0
2016-03-03,33,4,1,1,4,Stephen Curry,1,1.0
2016-03-06,18,4,0,1,6,Stephen Curry,1,1.0
2016-03-07,41,3,0,4,13,Stephen Curry,1,1.0
2016-03-09,12,10,0,3,3,Stephen Curry,1,1.0
2016-03-11,34,4,0,2,3,Stephen Curry,1,1.0
2016-03-12,35,6,0,0,3,Stephen Curry,1,1.0
2016-03-14,27,5,0,2,5,Stephen Curry,1,1.0
2016-03-16,34,4,0,0,6,Stephen Curry,1,1.0
2016-03-18,31,10,0,2,9,Stephen Curry,1,1.0
2016-03-19,14,6,0,2,6,Stephen Curry,1,1.0
2016-03-21,19,11,1,3,7,Stephen Curry,1,1.0
2016-03-23,33,5,0,3,4,Stephen Curry,1,1.0
2016-03-25,33,8,0,4,8,Stephen Curry,1,1.0
2016-03-27,20,8,0,4,3,Stephen Curry,1,1.0
2016-03-29,26,7,0,5,7,Stephen Curry,1,1.0
2016-03-30,31,4,0,2,7,Stephen Curry,1,1.0
2016-04-01,29,6,0,1,5,Stephen Curry,1,1.0
2016-04-03,39,7,1,2,6,Stephen Curry,1,1.0
2016-04-05,21,15,0,3,6,Stephen Curry,1,1.0
2016-04-07,27,9,0,2,5,Stephen Curry,1,1.0
2016-04-09,17,8,0,1,9,Stephen Curry,1,1.0
2016-04-10,37,5,0,2,5,Stephen Curry,1,1.0
2016-04-13,46,6,0,2,4,Stephen Curry,1,1.0
2015-10-28,32,0,2,3,8,Kawhi Leonard,2,0.484
2015-10-30,16,1,1,2,10,Kawhi Leonard,2,0.484
2015-11-01,19,2,1,2,5,Kawhi Leonard,2,0.484
2015-11-02,18,1,4,2,14,Kawhi Leonard,2,0.484
2015-11-04,23,0,0,1,9,Kawhi Leonard,2,0.484
2015-11-07,23,2,0,2,4,Kawhi Leonard,2,0.484
2015-11-09,24,2,2,2,3,Kawhi Leonard,2,0.484
2015-11-11,20,3,0,1,7,Kawhi Leonard,2,0.484
2015-11-16,19,3,2,2,9,Kawhi Leonard,2,0.484
2015-11-18,20,3,1,2,8,Kawhi Leonard,2,0.484
2015-11-20,22,2,1,1,5,Kawhi Leonard,2,0.484
2015-11-21,19,3,1,0,7,Kawhi Leonard,2,0.484
2015-11-23,24,4,1,4,13,Kawhi Leonard,2,0.484
2015-11-25,26,5,0,2,8,Kawhi Leonard,2,0.484
2015-11-27,25,6,5,4,7,Kawhi Leonard,2,0.484
2015-11-28,22,2,1,1,7,Kawhi Leonard,2,0.484
2015-11-30,25,3,0,2,8,Kawhi Leonard,2,0.484
2015-12-02,13,4,0,0,3,Kawhi Leonard,2,0.484
2015-12-03,27,3,1,2,8,Kawhi Leonard,2,0.484
2015-12-05,15,4,0,2,7,Kawhi Leonard,2,0.484
2015-12-09,7,2,1,1,6,Kawhi Leonard,2,0.484
2015-12-11,16,2,1,3,11,Kawhi Leonard,2,0.484
2015-12-12,22,4,0,5,8,Kawhi Leonard,2,0.484
2015-12-14,22,2,0,2,7,Kawhi Leonard,2,0.484
2015-12-16,27,4,0,4,3,Kawhi Leonard,2,0.484
2015-12-18,19,2,0,0,9,Kawhi Leonard,2,0.484
2015-12-21,24,5,0,3,6,Kawhi Leonard,2,0.484
2015-12-23,19,2,2,2,6,Kawhi Leonard,2,0.484
2015-12-25,20,4,3,5,8,Kawhi Leonard,2,0.484
2015-12-26,20,5,0,2,5,Kawhi Leonard,2,0.484
2015-12-28,17,3,0,1,11,Kawhi Leonard,2,0.484
2015-12-30,19,2,0,2,0,Kawhi Leonard,2,0.484
2016-01-02,22,2,0,0,6,Kawhi Leonard,2,0.484
2016-01-04,24,1,1,2,2,Kawhi Leonard,2,0.484
2016-01-06,15,3,0,2,4,Kawhi Leonard,2,0.484
2016-01-08,19,0,2,2,12,Kawhi Leonard,2,0.484
2016-01-11,17,0,0,1,8,Kawhi Leonard,2,0.484
2016-01-12,7,1,1,1,5,Kawhi Leonard,2,0.484
2016-01-14,20,5,2,1,10,Kawhi Leonard,2,0.484
2016-01-17,15,1,0,2,4,Kawhi Leonard,2,0.484
2016-01-21,21,3,0,0,3,Kawhi Leonard,2,0.484
2016-01-22,18,2,3,2,4,Kawhi Leonard,2,0.484
2016-01-25,16,2,0,2,5,Kawhi Leonard,2,0.484
2016-01-27,18,1,1,1,1,Kawhi Leonard,2,0.484
2016-01-30,24,2,0,0,6,Kawhi Leonard,2,0.484
2016-02-01,10,2,2,1,5,Kawhi Leonard,2,0.484
2016-02-03,26,1,2,1,5,Kawhi Leonard,2,0.484
