DATE,PTS,AST,BLK,STL,TRB,Player,Position
2012-10-30,26,3,0,2,10,LeBron James,1
2012-11-02,23,5,3,0,7,LeBron James,1
2012-11-03,20,11,2,0,9,LeBron James,1
2012-11-05,23,1,0,0,11,LeBron James,1
2012-11-07,20,8,0,1,12,LeBron James,1
2012-11-09,21,9,0,1,11,LeBron James,1
2012-11-11,20,6,1,2,10,LeBron James,1
2012-11-12,38,6,0,0,10,LeBron James,1
2012-11-14,30,7,2,1,5,LeBron James,1
2012-11-15,27,12,3,1,7,LeBron James,1
2012-11-17,21,3,0,2,7,LeBron James,1
2012-11-21,28,8,1,1,10,LeBron James,1
2012-11-24,30,5,1,0,6,LeBron James,1
2012-11-29,23,7,0,4,9,LeBron James,1
2012-12-01,21,6,0,1,9,LeBron James,1
2012-12-04,26,11,2,3,13,LeBron James,1
2012-12-06,31,9,0,3,10,LeBron James,1
2012-12-08,24,7,0,2,5,LeBron James,1
2012-12-10,27,6,0,2,7,LeBron James,1
2012-12-12,31,5,0,1,3,LeBron James,1
2012-12-15,23,5,0,1,10,LeBron James,1
2012-12-18,22,11,4,1,6,LeBron James,1
2012-12-20,24,5,1,1,9,LeBron James,1
2012-12-22,30,7,0,0,9,LeBron James,1
2012-12-25,29,9,1,2,8,LeBron James,1
2012-12-26,27,8,2,4,12,LeBron James,1
2012-12-28,35,5,1,6,6,LeBron James,1
2012-12-29,26,7,1,2,6,LeBron James,1
2012-12-31,36,11,0,1,8,LeBron James,1
2013-01-02,32,9,1,3,12,LeBron James,1
2013-01-04,30,2,0,1,6,LeBron James,1
2013-01-06,24,7,1,0,2,LeBron James,1
2013-01-08,22,4,2,1,10,LeBron James,1
2013-01-10,15,9,1,2,10,LeBron James,1
2013-01-12,20,7,2,5,5,LeBron James,1
2013-01-14,32,6,2,3,4,LeBron James,1
2013-01-16,25,10,0,1,7,LeBron James,1
2013-01-17,39,8,1,3,7,LeBron James,1
2013-01-23,31,11,0,0,10,LeBron James,1
2013-01-25,23,7,0,1,7,LeBron James,1
2013-01-27,34,7,1,3,16,LeBron James,1
