DATE,PTS,AST,BLK,STL,TRB,Player,Position,Share
2022-10-18,26,5,1,0,15,Joel Embiid,1,0.915
2022-10-20,15,3,1,0,12,Joel Embiid,1,0.915
2022-10-22,40,3,2,1,13,Joel Embiid,1,0.915
2022-10-24,26,2,3,1,5,Joel Embiid,1,0.915
2022-10-26,31,3,0,0,5,Joel Embiid,1,0.915
2022-10-29,25,4,0,1,7,Joel Embiid,1,0.915
2022-11-07,33,5,1,0,10,Joel Embiid,1,0.915
2022-11-10,26,2,1,0,13,Joel Embiid,1,0.915
2022-11-12,42,6,2,2,10,Joel Embiid,1,0.915
2022-11-13,59,8,7,1,11,Joel Embiid,1,0.915
2022-11-18,32,8,3,1,11,Joel Embiid,1,0.915
2022-11-19,32,6,0,3,9,Joel Embiid,1,0.915
2022-11-28,30,7,2,2,8,Joel Embiid,1,0.915
2022-11-30,19,6,0,3,6,Joel Embiid,1,0.915
2022-12-02,35,8,3,1,11,Joel Embiid,1,0.915
2022-12-05,39,3,2,2,7,Joel Embiid,1,0.915
2022-12-09,38,5,0,1,12,Joel Embiid,1,0.915
2022-12-11,53,3,1,0,12,Joel Embiid,1,0.915
2022-12-13,31,2,1,1,7,Joel Embiid,1,0.915
2022-12-16,34,4,2,4,13,Joel Embiid,1,0.915
2022-12-19,28,4,0,2,11,Joel Embiid,1,0.915
2022-12-21,22,6,4,0,10,Joel Embiid,1,0.915
2022-12-23,44,3,2,1,7,Joel Embiid,1,0.915
2022-12-25,35,1,0,0,8,Joel Embiid,1,0.915
2022-12-27,48,1,3,3,10,Joel Embiid,1,0.915
2022-12-30,37,5,1,1,8,Joel Embiid,1,0.915
2022-12-31,16,10,4,1,13,Joel Embiid,1,0.915
2023-01-02,42,5,1,1,11,Joel Embiid,1,0.915
2023-01-10,36,1,2,0,11,Joel Embiid,1,0.915
2023-01-12,30,2,1,0,10,Joel Embiid,1,0.915
2023-01-14,30,2,2,0,7,Joel Embiid,1,0.915
2023-01-15,35,4,1,1,11,Joel Embiid,1,0.915
2023-01-17,41,3,2,0,9,Joel Embiid,1,0.915
2023-01-19,32,2,3,1,9,Joel Embiid,1,0.915
2023-01-25,26,3,0,2,10,Joel Embiid,1,0.915
2023-01-28,47,5,2,3,18,Joel Embiid,1,0.915
2023-01-30,30,5,2,2,11,Joel Embiid,1,0.915
2023-02-01,28,3,1,0,11,Joel Embiid,1,0.915
2023-02-03,33,4,0,2,10,Joel Embiid,1,0.915
2023-02-05,31,3,1,0,14,Joel Embiid,1,0.915
2023-02-08,28,1,1,2,7,Joel Embiid,1,0.915
2023-02-10,35,6,2,1,11,Joel Embiid,1,0.915
2023-02-11,37,2,0,2,13,Joel Embiid,1,0.915
2023-02-13,23,4,0,1,6,Joel Embiid,1,0.915
2023-02-15,29,5,1,2,14,Joel Embiid,1,0.915
2023-02-23,27,6,6,1,19,Joel Embiid,1,0.915
2023-02-25,41,5,3,0,12,Joel Embiid,1,0.915
2023-02-27,27,2,1,0,12,Joel Embiid,1,0.915
2023-03-02,35,1,0,2,8,Joel Embiid,1,0.915
2023-03-04,31,10,0,0,6,Joel Embiid,1,0.915
2023-03-06,42,3,1,2,5,Joel Embiid,1,0.915
2023-03-07,39,4,3,1,7,Joel Embiid,1,0.915
2023-03-10,39,4,3,2,7,Joel Embiid,1,0.915
2023-03-12,34,4,4,1,8,Joel Embiid,1,0.915
2023-03-15,36,3,4,0,18,Joel Embiid,1,0.915
2023-03-17,38,5,4,0,13,Joel Embiid,1,0.915
2023-03-18,31,7,2,0,7,Joel Embiid,1,0.915
2023-03-20,37,1,3,1,16,Joel Embiid,1,0.915
2023-03-22,12,7,1,1,7,Joel Embiid,1,0.915
2023-03-24,46,8,1,2,9,Joel Embiid,1,0.915
2023-03-25,28,4,2,0,10,Joel Embiid,1,0.915
2023-03-29,25,3,1,1,9,Joel Embiid,1,0.915
2023-03-31,25,1,1,0,12,Joel Embiid,1,0.915
2023-04-02,28,5,0,0,9,Joel Embiid,1,0.915
2023-04-04,52,6,2,0,13,Joel Embiid,1,0.915
2023-04-06,21,2,2,0,6,Joel Embiid,1,0.915
2022-10-19,27,6,0,3,4,Nikola Jokić,2,0.674
2022-10-21,26,10,0,0,12,Nikola Jokić,2,0.674
2022-10-22,19,13,1,1,16,Nikola Jokić,2,0.674
2022-10-24,9,9,0,0,9,Nikola Jokić,2,0.674
2022-10-26,31,9,0,4,13,Nikola Jokić,2,0.674
2022-10-28,12,6,1,1,10,Nikola Jokić,2,0.674
2022-10-30,23,6,2,0,14,Nikola Jokić,2,0.674
2022-11-03,15,14,0,1,13,Nikola Jokić,2,0.674
2022-11-05,21,10,0,2,6,Nikola Jokić,2,0.674
2022-11-07,26,10,3,2,8,Nikola Jokić,2,0.674
2022-11-09,24,6,1,2,4,Nikola Jokić,2,0.674
2022-11-11,29,3,0,0,8,Nikola Jokić,2,0.674
2022-11-13,8,14,0,3,6,Nikola Jokić,2,0.674
2022-11-22,31,10,1,1,9,Nikola Jokić,2,0.674
2022-11-23,39,9,0,0,10,Nikola Jokić,2,0.674
2022-11-25,19,6,1,2,13,Nikola Jokić,2,0.674
2022-11-28,32,8,0,0,12,Nikola Jokić,2,0.674
2022-11-30,17,12,1,1,9,Nikola Jokić,2,0.674
2022-12-02,24,8,0,1,10,Nikola Jokić,2,0.674
2022-12-04,32,9,1,2,16,Nikola Jokić,2,0.674
2022-12-06,19,8,0,1,8,Nikola Jokić,2,0.674
2022-12-08,33,9,1,0,10,Nikola Jokić,2,0.674
2022-12-10,31,14,4,1,12,Nikola Jokić,2,0.674
2022-12-14,43,8,1,5,14,Nikola Jokić,2,0.674
2022-12-16,25,8,0,4,11,Nikola Jokić,2,0.674
2022-12-18,40,10,0,2,27,Nikola Jokić,2,0.674
2022-12-20,13,13,0,2,13,Nikola Jokić,2,0.674
2022-12-23,29,11,0,2,8,Nikola Jokić,2,0.674
2022-12-25,41,15,1,0,15,Nikola Jokić,2,0.674
2022-12-27,20,11,0,1,9,Nikola Jokić,2,0.674
2022-12-28,40,6,1,1,7,Nikola Jokić,2,0.674
2022-12-30,19,12,1,1,12,Nikola Jokić,2,0.674
2023-01-01,30,12,0,1,12,Nikola Jokić,2,0.674
2023-01-02,24,9,0,2,7,Nikola Jokić,2,0.674
2023-01-05,12,9,0,1,6,Nikola Jokić,2,0.674
2023-01-06,28,10,0,2,15,Nikola Jokić,2,0.674
2023-01-09,14,16,1,1,11,Nikola Jokić,2,0.674
2023-01-11,21,9,0,1,18,Nikola Jokić,2,0.674
2023-01-15,17,14,1,2,10,Nikola Jokić,2,0.674
